year,Appalachian,Corn Belt,Delta States,Lake States,Mountain,Northeast,Northern Plains,Southeast,Southern Plains,Pacific
1970,8202000000,17334000000,2823000000,32673000000,4662000000,24224000000,5949000000,4151000000,4315000000,12674000000
1971,8216000000,17308000000,2838000000,33262000000,4817000000,24368000000,5852000000,4308000000,4499000000,13098000000
1972,8389000000,17290000000,2853000000,33772000000,4995000000,24021000000,5824000000,4440000000,4575000000,13866000000
1973,7900000000,16441000000,2718000000,32349000000,5018000000,22785000000,5733000000,4293000000,4420000000,13834000000
1974,7858000000,16017000000,2672000000,32445000000,5078000000,23140000000,5502000000,4288000000,4517000000,14069000000
1975,7953000000,15648000000,2637000000,32257000000,5081000000,23555000000,5296000000,4375000000,4268000000,14328000000
1976,8292000000,16033000000,2660000000,34155000000,5179000000,24264000000,5454000000,4533000000,4411000000,15199000000
1977,8434000000,16166000000,2672000000,35285000000,5342000000,24633000000,5392000000,4503000000,4492000000,15735000000
1978,8109000000,15531000000,2628000000,35134000000,5422000000,24842000000,5084000000,4424000000,4523000000,15764000000
1979,8163000000,15403000000,2563000000,35825000000,5589000000,25238000000,5013000000,4464000000,4447000000,16646000000
1980,8415000000,15880000000,2569000000,36885000000,6131000000,26139000000,5253000000,4546000000,4735000000,17853000000
1981,8600000000,16204000000,2648000000,38164000000,6694000000,26798000000,5549000000,4650000000,4815000000,18648000000
1982,8784000000,16450000000,2703000000,38824000000,7104000000,27340000000,5478000000,4668000000,4945000000,19209000000
1983,8810000000,16961000000,2682000000,40241000000,7354000000,28319000000,5658000000,4654000000,5168000000,19741000000
1984,8243000000,16048000000,2548000000,39182000000,7121000000,27596000000,5127000000,4249000000,4978000000,20260000000
1985,8689000000,16877000000,2635000000,41103000000,7812000000,28681000000,5489000000,4461000000,5151000000,22114000000
1986,8769000000,16838000000,2483000000,40518000000,7913000000,28830000000,5410000000,4486000000,5235000000,22643000000
1987,8468000000,16752000000,2415000000,40468000000,7821000000,28221000000,5406000000,4358000000,5447000000,23353000000
1988,8333000000,16822000000,2513000000,40641000000,8376000000,28000000000,5442000000,4586000000,6054000000,24267000000
1989,8106000000,16591000000,2511000000,39159000000,8630000000,27182000000,5370000000,4739000000,6402000000,25203000000
1990,8073000000,16775000000,2506000000,39451000000,9486000000,27223000000,5379000000,4926000000,6784000000,27118000000
1991,8026000000,16550000000,2455000000,38801000000,9935000000,27509000000,5219000000,4881000000,6641000000,27679000000
1992,7980000000,16486000000,2503000000,39137000000,10644000000,28401000000,5099000000,5016000000,6821000000,28797000000
1993,7785000000,16283000000,2449000000,37972000000,11412000000,28051000000,4742000000,5026000000,7167000000,29750000000
1994,7488000000,15897000000,2409000000,37299000000,13008000000,27864000000,4693000000,5129000000,7512000000,32303000000
1995,7384000000,15950000000,2344000000,37916000000,13915000000,28413000000,4694000000,4809000000,7406000000,32462000000
1996,6855000000,15000000000,2171000000,37246000000,15007000000,28254000000,4528000000,4702000000,7365000000,32878000000
1997,6852000000,14862000000,2063000000,36988000000,15943000000,28530000000,4422000000,4779000000,7017000000,34635000000
1998,6581000000,14899000000,1870000000,37482000000,16874000000,29051000000,4457000000,4534000000,6841000000,34672000000
1999,6432000000,14693000000,1783000000,38004000000,18293000000,29494000000,4652000000,4592000000,6869000000,37778000000
2000,6454000000,15166000000,1724000000,38457000000,19993000000,29365000000,4955000000,4614000000,7057000000,39607000000
2001,6283000000,14616000000,1561000000,36881000000,20902000000,28787000000,4790000000,4511000000,6432000000,40568000000
2002,6200000000,14934000000,1450000000,36652000000,22631000000,29198000000,5079000000,4419000000,6607000000,42893000000
2003,5661000000,15172000000,1296000000,36899000000,23651000000,28146000000,5089000000,4175000000,6942000000,43318000000
2004,5508000000,15263000000,1181000000,36517000000,24196000000,27370000000,5077000000,4201000000,7272000000,44247000000
2005,5459000000,15767000000,1114000000,37811000000,25850000000,28270000000,5258000000,4183000000,7680000000,45540000000
2006,5267000000,16086000000,998000000,38882000000,27774000000,28308000000,5438000000,4055000000,8371000000,46603000000
2007,5118000000,16224000000,893000000,40361000000,28507000000,28163000000,5347000000,4022000000,8528000000,48492000000
2008,4957000000,16135000000,796000000,41017000000,30352000000,28431000000,5712000000,3923000000,9477000000,49179000000
2009,4883000000,16306000000,686000000,42226000000,29761000000,28216000000,5965000000,3969000000,9842000000,47348000000
2010,4744000000,16313000000,611000000,43470000000,30621000000,28709000000,5933000000,3970000000,9787000000,48718000000
2011,4680000000,16222000000,579000000,43426000000,31978000000,28605000000,5976000000,4141000000,10505000000,50144000000
2012,4746000000,16896000000,554000000,45288000000,32688000000,28923000000,6233000000,4277000000,10455000000,50582000000
2013,4664000000,17064000000,497000000,45874000000,32501000000,29309000000,6461000000,4332000000,10389000000,50139000000
2014,4627000000,17197000000,488000000,46531000000,33579000000,29785000000,6743000000,4571000000,11036000000,51499000000
2015,4716000000,17615000000,444000000,48753000000,33759000000,30274000000,7174000000,4741000000,11028000000,50093000000
2016,4565000000,17907000000,393000000,50652000000,34328000000,31060000000,7618000000,4667000000,11465000000,49751000000
2017,4549000000,18196000000,376000000,51415000000,35388000000,31290000000,7903000000,4672000000,12782000000,48895000000
