year,country,numCells
1995,China,"NA"
1996,China,"NA"
1997,China,"NA"
1998,China,"NA"
1999,China,"NA"
2000,China,2.5
2001,China,3
2002,China,10
2003,China,13
2004,China,40
2005,China,128.30000000000001
2006,China,341.8
2007,China,1192.8735755126208
2008,China,2535.9804999999997
2009,China,5193.2335000000003
2010,China,12882.114299891044
2011,China,24338.646000000004
2012,China,24139.014999999999
2013,China,26871.3
1995,Taiwan,"NA"
1996,Taiwan,"NA"
1997,Taiwan,"NA"
1998,Taiwan,"NA"
1999,Taiwan,"NA"
2000,Taiwan,"NA"
2001,Taiwan,3.5
2002,Taiwan,8
2003,Taiwan,17
2004,Taiwan,39.299999999999997
2005,Taiwan,88
2006,Taiwan,169.5
2007,Taiwan,413.19362206495737
2008,Taiwan,871.4
2009,Taiwan,1573.2
2010,Taiwan,3755.9046488657718
2011,Taiwan,4773.1499999999996
2012,Taiwan,5270.1999999999989
2013,Taiwan,6338.5650000000005
1995,Japan,16.4
1996,Japan,21.2
1997,Japan,35
1998,Japan,49
1999,Japan,80
2000,Japan,128.6
2001,Japan,171.2
2002,Japan,251.1
2003,Japan,363.9
2004,Japan,601.5
2005,Japan,833
2006,Japan,926.4
2007,Japan,937.5
2008,Japan,1268
2009,Japan,1503
2010,Japan,2169
2011,Japan,2707
2012,Japan,2641.8
2013,Japan,3679
1995,Malaysia,"NA"
1996,Malaysia,"NA"
1997,Malaysia,"NA"
1998,Malaysia,"NA"
1999,Malaysia,"NA"
2000,Malaysia,"NA"
2001,Malaysia,0
2002,Malaysia,0
2003,Malaysia,0
2004,Malaysia,0
2005,Malaysia,0
2006,Malaysia,0
2007,Malaysia,100.1
2008,Malaysia,397.9
2009,Malaysia,1228.0566037735848
2010,Malaysia,1919.0129442119946
2011,Malaysia,2684.5953947368421
2012,Malaysia,2597.365436241611
2013,Malaysia,3072.59
1995,Germany,"NA"
1996,Germany,"NA"
1997,Germany,"NA"
1998,Germany,"NA"
1999,Germany,"NA"
2000,Germany,22.5
2001,Germany,23.5
2002,Germany,55
2003,Germany,121.5
2004,Germany,193
2005,Germany,339
2006,Germany,469.1
2007,Germany,815.35421116529074
2008,Germany,1476.6923205919056
2009,Germany,1606.0497978436656
2010,Germany,2181.2726133183096
2011,Germany,2152.8626315789475
2012,Germany,1406.7827181208054
2013,Germany,1054.885
1995,South Korea,"NA"
1996,South Korea,"NA"
1997,South Korea,"NA"
1998,South Korea,"NA"
1999,South Korea,"NA"
2000,South Korea,"NA"
2001,South Korea,0
2002,South Korea,0
2003,South Korea,0
2004,South Korea,0
2005,South Korea,5.3
2006,South Korea,13
2007,South Korea,31.883935905674612
2008,South Korea,70.848164851527258
2009,South Korea,234
2010,South Korea,886.29518449560589
2011,South Korea,1227.3
2012,South Korea,1107.0999999999999
2013,South Korea,1127.0999999999999
1995,United States,34.75
1996,United States,38.85
1997,United States,51
1998,United States,53.7
1999,United States,60.8
2000,United States,75
2001,United States,100.3
2002,United States,120.6
2003,United States,103
2004,United States,138.7
2005,United States,153.1
2006,United States,177.6
2007,United States,261.980396953436
2008,United States,403.125
2009,United States,594.792169811321
2010,United States,1162.51772511527
2011,United States,1044.18947368421
2012,United States,886.401845637584
2013,United States,868.425
1995,Others,"NA"
1996,Others,"NA"
1997,Others,"NA"
1998,Others,"NA"
1999,Others,"NA"
2000,Others,48.200000000000017
2001,Others,69.800000000000011
2002,Others,97.299999999999955
2003,Others,131
2004,Others,186.29999999999995
2005,Others,235.70000000000027
2006,Others,361.09999999999991
2007,Others,410.97322650945807
2008,Others,709.03112641453299
2009,Others,663.66000000000349
2010,Others,1443.4220633203404
2011,Others,1834.0178571428623
2012,Others,1474.9000000000015
2013,Others,1452.6312499999985
